,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1169,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1170,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1171,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1172,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1173,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1174,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1175,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1176,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1177,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1178,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1179,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1180,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1181,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1182,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1183,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1184,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Barcelona
1185,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1186,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1187,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1188,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1189,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1190,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1191,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1192,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1193,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1194,CCS Combo2,Carga Rápida (DC),DC,Gerona
1195,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1196,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1197,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1198,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1199,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1200,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1201,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1202,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1203,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Gerona
1204,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1205,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1206,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1207,CCS Combo2,Carga Rápida (DC),DC,Gerona
1208,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1209,MENNEKES.M,Carga Lenta (AC),AC,Lérida
1210,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
